run_name	upload_status	result_tar_size_bytes	result_tar_path	hf_repo_id	hf_path	hf_url	remote_stage_dir	result_tar_mtime_epoch	stage_mtime_epoch	slurm_logs	sha256
dexjoco_click_mouse_evorl_lerobot_A_faithful_20260616_113339	no_result_tar	0		ZJ4433MR/recap-sim-l40-artifacts			/share/home/u23133/.cache/recap-sim-l40-stage/dexjoco_click_mouse_evorl_lerobot_A_faithful_20260616_113339	0	1781581010	slurm-1668342.out	not_computed
dexjoco_click_mouse_p2_pistar06_value_acp_recovery_bert_public_lm_l40_v5	pending_repo_write_access	3184946918	/share/home/u23133/.cache/recap-sim-l40-stage/dexjoco_click_mouse_p2_pistar06_value_acp_recovery_bert_public_lm_l40_v5/results.tar.gz	ZJ4433MR/recap-sim-l40-artifacts	artifacts/dexjoco_click_mouse_p2_pistar06_value_acp_recovery_bert_public_lm_l40_v5/results.tar.gz	https://huggingface.co/datasets/ZJ4433MR/recap-sim-l40-artifacts/resolve/main/artifacts/dexjoco_click_mouse_p2_pistar06_value_acp_recovery_bert_public_lm_l40_v5/results.tar.gz	/share/home/u23133/.cache/recap-sim-l40-stage/dexjoco_click_mouse_p2_pistar06_value_acp_recovery_bert_public_lm_l40_v5	1781565495	1781565157	slurm-1667825.out	not_computed
dexjoco_click_mouse_p2_pistar06_value_acp_recovery_l40_v4	pending_repo_write_access	43469	/share/home/u23133/.cache/recap-sim-l40-stage/dexjoco_click_mouse_p2_pistar06_value_acp_recovery_l40_v4/results.tar.gz	ZJ4433MR/recap-sim-l40-artifacts	artifacts/dexjoco_click_mouse_p2_pistar06_value_acp_recovery_l40_v4/results.tar.gz	https://huggingface.co/datasets/ZJ4433MR/recap-sim-l40-artifacts/resolve/main/artifacts/dexjoco_click_mouse_p2_pistar06_value_acp_recovery_l40_v4/results.tar.gz	/share/home/u23133/.cache/recap-sim-l40-stage/dexjoco_click_mouse_p2_pistar06_value_acp_recovery_l40_v4	1781550044	1781550044	slurm-1667725.out	not_computed
dexjoco_click_mouse_p2_pistar06_value_acp_recovery_l40_v3	pending_repo_write_access	1210	/share/home/u23133/.cache/recap-sim-l40-stage/dexjoco_click_mouse_p2_pistar06_value_acp_recovery_l40_v3/results.tar.gz	ZJ4433MR/recap-sim-l40-artifacts	artifacts/dexjoco_click_mouse_p2_pistar06_value_acp_recovery_l40_v3/results.tar.gz	https://huggingface.co/datasets/ZJ4433MR/recap-sim-l40-artifacts/resolve/main/artifacts/dexjoco_click_mouse_p2_pistar06_value_acp_recovery_l40_v3/results.tar.gz	/share/home/u23133/.cache/recap-sim-l40-stage/dexjoco_click_mouse_p2_pistar06_value_acp_recovery_l40_v3	1781542168	1781542168	slurm-1667693.out	not_computed
dexjoco_click_mouse_p2_pistar06_value_acp_recovery_l40_v2	no_result_tar	0		ZJ4433MR/recap-sim-l40-artifacts			/share/home/u23133/.cache/recap-sim-l40-stage/dexjoco_click_mouse_p2_pistar06_value_acp_recovery_l40_v2	0	1781539901	slurm-1667666.out	not_computed
dexjoco_click_mouse_p2_pistar06_value_acp_recovery_l40_v1	no_result_tar	0		ZJ4433MR/recap-sim-l40-artifacts			/share/home/u23133/.cache/recap-sim-l40-stage/dexjoco_click_mouse_p2_pistar06_value_acp_recovery_l40_v1	0	1781538947		not_computed
dexjoco_click_mouse_p2_frozen_pool_ablation_l40_v4	pending_repo_write_access	26259422483	/share/home/u23133/.cache/recap-sim-l40-stage/dexjoco_click_mouse_p2_frozen_pool_ablation_l40_v4/results.tar.gz	ZJ4433MR/recap-sim-l40-artifacts	artifacts/dexjoco_click_mouse_p2_frozen_pool_ablation_l40_v4/results.tar.gz	https://huggingface.co/datasets/ZJ4433MR/recap-sim-l40-artifacts/resolve/main/artifacts/dexjoco_click_mouse_p2_frozen_pool_ablation_l40_v4/results.tar.gz	/share/home/u23133/.cache/recap-sim-l40-stage/dexjoco_click_mouse_p2_frozen_pool_ablation_l40_v4	1781530550	1781537375	slurm-1665636.out	not_computed
dexjoco_click_mouse_p0_acp_prompt_seed4_eval100_l40_v1	pending_repo_write_access	223762042	/share/home/u23133/.cache/recap-sim-l40-stage/dexjoco_click_mouse_p0_acp_prompt_seed4_eval100_l40_v1/results.tar.gz	ZJ4433MR/recap-sim-l40-artifacts	artifacts/dexjoco_click_mouse_p0_acp_prompt_seed4_eval100_l40_v1/results.tar.gz	https://huggingface.co/datasets/ZJ4433MR/recap-sim-l40-artifacts/resolve/main/artifacts/dexjoco_click_mouse_p0_acp_prompt_seed4_eval100_l40_v1/results.tar.gz	/share/home/u23133/.cache/recap-sim-l40-stage/dexjoco_click_mouse_p0_acp_prompt_seed4_eval100_l40_v1	1781526705	1781526698	slurm-1666327.out,slurm-1666871.out	not_computed
dexjoco_click_mouse_p0_acp_prompt_seed4_eval100_l40_v2	no_result_tar	0		ZJ4433MR/recap-sim-l40-artifacts			/share/home/u23133/.cache/recap-sim-l40-stage/dexjoco_click_mouse_p0_acp_prompt_seed4_eval100_l40_v2	0	1781520268		not_computed
dexjoco_click_mouse_p0_baseline_seed4_eval100_l40_v1	pending_repo_write_access	199632990	/share/home/u23133/.cache/recap-sim-l40-stage/dexjoco_click_mouse_p0_baseline_seed4_eval100_l40_v1/results.tar.gz	ZJ4433MR/recap-sim-l40-artifacts	artifacts/dexjoco_click_mouse_p0_baseline_seed4_eval100_l40_v1/results.tar.gz	https://huggingface.co/datasets/ZJ4433MR/recap-sim-l40-artifacts/resolve/main/artifacts/dexjoco_click_mouse_p0_baseline_seed4_eval100_l40_v1/results.tar.gz	/share/home/u23133/.cache/recap-sim-l40-stage/dexjoco_click_mouse_p0_baseline_seed4_eval100_l40_v1	1781483557	1781483551	slurm-1665672.out	not_computed
